23:58:20.240 [main] INFO   - B0000W47PC
00:01:53.362 [main] INFO   - Imones kodo uzklausa: B0000W47PC
00:08:40.981 [main] INFO   - Imones kodo uzklausa: asd
00:08:42.044 [main] INFO   - Imones kodo uzklausa: asd
00:08:43.091 [main] INFO   - Imones kodo uzklausa: asd
00:08:44.107 [main] INFO   - Imones kodo uzklausa: asd
00:08:45.123 [main] INFO   - Imones kodo uzklausa: asd
00:08:46.139 [main] INFO   - Imones kodo uzklausa: asd
00:08:47.170 [main] INFO   - Imones kodo uzklausa: asd
00:08:48.186 [main] INFO   - Imones kodo uzklausa: asd
00:08:49.202 [main] INFO   - Imones kodo uzklausa: asd
00:08:50.234 [main] INFO   - Imones kodo uzklausa: asd
00:08:51.250 [main] INFO   - Imones kodo uzklausa: asd
00:08:52.281 [main] INFO   - Imones kodo uzklausa: asd
00:08:53.297 [main] INFO   - Imones kodo uzklausa: asd
00:08:54.297 [main] INFO   - Imones kodo uzklausa: asd
00:08:55.344 [main] INFO   - Imones kodo uzklausa: asd
00:08:56.360 [main] INFO   - Imones kodo uzklausa: asd
00:08:57.391 [main] INFO   - Imones kodo uzklausa: asd
00:12:05.904 [main] INFO   - Imones kodo uzklausa: asd
00:12:20.290 [main] INFO   - Imones kodo uzklausa: vxvx
00:14:41.433 [main] INFO   - Imones kodo uzklausa: adads
00:15:47.047 [main] INFO   - Imones kodo uzklausa: das
00:17:08.971 [main] INFO   - Imones kodo uzklausa: B0002STO02
00:20:59.080 [main] INFO   - Imones kodo uzklausa: B0002STO02
